v1
1,1,1,1,,,,,188,116,
2,1,1,1,GAZPXXX,GAZP,,,1,1,
3,1,1,2,,,,,188,116,
4,1,1,2,LKOHXXX,LKOH,,,1,1,
1,1,1,3,,,,,1,0,
2,1,1,3,SBER,SBER,,,1,0,
1,1,1,4,RTKM,,,,0,0,
1,1,1,5,,,,,1,0,
1,1,1,6,SS,,,,1,0,
2,1,1,5,,,,,1,0,
5,1,1,5,,,,,1,0,
5,1,1,5,,,,,1,0,
5,1,1,5,,,,,1,0,
5,1,1,5,,,,,1,0,
5,1,1,5,,,,,1,0,
5,1,1,5,,,,,1,0,
5,1,1,6,SS,,,,1,0,
5,1,1,6,SS,,,,1,0,
6,2,1,5,,,,,1,0,
7,2,1,5,,,,,1,0,
8,2,1,6,SS,,,,1,0,
9,1,1,7,RTKMXXX,RTKM,,,0,0,
10,1,1,8,SS,,,,1,0,
11,1,1,4,ZZZZ,ZZ,,,0,0,
12,2,1,8,SS,,,,1,0,
13,2,1,7,RTKMXXX,RTKM,,,0,0,
14,2,1,2,LKOHXXX,LKOH,,,1,1,
15,1,1,9,ZZZZ,ZZC,,,0,0,
16,1,1,3,SBER,SBERS,,,1,0,
17,1,1,3,SBER,SBERS,,,1,0,
18,1,1,3,SBERD,SBERS,,,1,0,
19,1,1,3,SBERD,SBERS,,,1,0,
20,1,1,9,BROWN,BBBB,,,0,0,
21,1,1,9,BROWN,BBBB,,,0,0,
22,1,1,3,SBERD,SBER,,,1,0,
23,1,1,9,BROWN,BBWN,,,0,0,
24,1,1,10,HUGO,BOSS,,,1,0,
25,1,1,4,ZZZZss,ZZ,,,0,0,
26,1,1,9,BROWN,BBWN,,,0,1,
27,1,1,9,BROWN,BBWN,,,1,1,
28,1,1,9,BROWN,BBWN,,,0,0,
29,1,1,9,BROWN,BBWN,,,1,0,
30,2,1,4,ZZZZ,ZZ,,,0,0,
31,1,1,11,HUGOBOSS,BOSS,,,1,0,
32,1,1,11,HUGOBOSS,BOSS,,,1,0,
33,1,1,11,HUGOBOSS,BOSS,,,1,0,
34,1,1,11,HUGOBOSS,BOSS,,,1,0,
35,1,1,11,HUGOBOSS,BOSS,,,1,0,
36,1,1,11,HUGOBOSS,BOSS,,,1,0,
37,1,1,12,ANDE,SWS,,,1,0,
38,1,1,13,TRASE,TRS1,,,1,0,
39,1,1,14,GARB,GARB,,,1,0,
40,1,1,15,DFDF,,,,1,0,
41,1,1,16,NNNN,NNN,,,1,0,
42,1,1,17,TTTT,TREB,,,1,0,
43,2,1,13,TRASE,TRS1,,,1,0,
44,1,1,18,EEEEE,EE,,,1,0,
45,1,1,12,ANDEKKKKKKK,SWS,,,1,0,
46,2,1,3,SBERD,SBER,,,1,0,
47,2,1,16,NNNN,NNN,,,1,0,
48,1,1,19,FUGA,FYTA,,,1,0,
49,1,1,15,CHMK,,,,1,0,
50,1,1,18,Магнит а.о,MGNT,,,1,0,
51,1,1,19,ДВМП ао,FESH,,,1,0,
52,1,1,10,HUGOSSS,HUGO,,,1,0,
53,1,1,11,BOSS,BOSS,,,1,0,
54,1,1,20,Северсталь а.о.,CHMF,,,1,0,
55,1,1,15,Аэровлот,AFLT,,,1,0,
56,1,1,9,Сбербанк а.о.,SBER,,,1,0,
57,1,1,11,Ростелеком,RTKM,,,1,0,
58,1,1,1,Газпром а.о.,GAZP,,,1,1,
59,1,1,14,Лукойл а.о.,LKOH,,,1,0,
60,1,1,12,Сбербанк а.п.,SBERP,,,1,0,
61,1,1,10,МТС а.о.,MTS,,,1,0,
62,1,1,17,Транснефть ап,TRNFP,,,1,0,
63,1,1,21,Роснефть ао,ROSN,,,1,0,
64,1,1,21,Роснефть ао,ROSN,,,1,0,
65,1,1,14,Лукойл а.о.,LKOH,LKOH,,1,0,
66,1,1,18,Магнит а.о,MGNT,MGNT,MGNT,1,0,
67,1,1,10,МТС а.о.,MTS,MTS,,1,0,
68,1,1,21,Роснефть ао,ROSN,,ROSN,1,0,
69,1,1,9,Сбербанк а.о.,SBER,SBER,,1,0,
70,1,1,9,Сбербанк а.о.,SBER,,,1,0,
